,by,descendants,id,kids,score,time,title,type,url,text
14,Gedxx,83.0,37955137,"[37955383, 37955541, 37955385, 37955434, 37955433, 37955705, 37957424, 37956757, 37955504, 37956494, 37956542, 37956822, 37955624, 37955372, 37955906, 37955728, 37955913, 37955623, 37955871, 37956855, 37955516, 37957180, 37957153, 37955374, 37955507, 37955717, 37955482]",117,1697804640,Find the date of your birthday in the number pi,story,https://www.mypiday.com/,
15,throwaway71271,26.0,37953741,"[37954250, 37957530, 37954184, 37956461, 37954301, 37955492, 37955690, 37954624, 37954915, 37955409, 37955043, 37955066, 37955241, 37954482, 37954211, 37955054]",122,1697791842,The Unix Game,story,https://unixgame.io/unix50,
16,joshmanders,1.0,37956856,[37957784],7,1697813272,Flappy Bird Implemented in TypeScript Types,story,https://zackoverflow.dev/writing/flappy-bird-in-type-level-typescript/,
17,napsternxg,146.0,37950952,"[37952566, 37951616, 37951288, 37954040, 37952448, 37952138, 37953256, 37952468, 37951646, 37952216, 37954690, 37953352, 37951651, 37953773, 37951815, 37951130, 37954129, 37952874, 37951851, 37952546, 37954164, 37952608, 37953706, 37951825, 37951823, 37952384, 37952085, 37952656, 37953066, 37953012, 37952072, 37952561, 37952424]",447,1697763651,"Nota is a language for writing documents, like academic papers and blog posts",story,https://nota-lang.org/#def-nota,
18,thunderbong,97.0,37953094,"[37954283, 37954550, 37957431, 37954403, 37954862, 37954913, 37954277, 37954691, 37955520, 37955065, 37955656, 37955206, 37954604, 37954400, 37957062, 37955740, 37955955, 37955033, 37955187]",121,1697784692,GnuCash Tutorial and Concepts Guide,story,https://www.gnucash.org/viewdoc.phtml?rev=5&lang=C&doc=guide,
19,clockworksoul,8.0,37955658,"[37957708, 37956759, 37956615, 37956161, 37956351]",34,1697808352,AI tidies up Wikipedia's references – and boosts reliability,story,https://www.nature.com/articles/d41586-023-02894-x,
20,PaulHoule,4.0,37955974,"[37957776, 37957764, 37957651, 37957577]",47,1697809817,The Tech Industry Has a New Plan to Stop Proliferation of Right to Repair Laws,story,https://www.404media.co/the-tech-industry-has-a-new-plan-to-stop-right-to-repair-laws/,
21,colinprince,36.0,37955351,"[37955890, 37957411, 37956450, 37955799, 37957623, 37955924, 37955837, 37956170, 37956533, 37956565, 37956045, 37956344, 37957300, 37956601, 37955921, 37956825]",73,1697806206,We caught technicians snooping on our personal devices,story,https://www.cbc.ca/news/business/marketplace-tech-repair-snooping-1.7000775,
22,donsupreme,37.0,37956406,"[37957504, 37957242, 37957670, 37957381, 37957601, 37957541]",33,1697811532,"10-year Treasury yield rises to 5%, highest level for the key rate in 16 years",story,https://www.cnbc.com/2023/10/19/us-treasurys-ahead-of-fed-chair-powell-speech.html,
23,transpute,0.0,37955620,,8,1697808145,Confidential computing and AI fit together,story,https://www.edgeless.systems/blog/how-confidential-computing-and-ai-fit-together/,
24,hlandau,22.0,37954854,"[37955177, 37955999, 37956776, 37955858, 37956761, 37957021, 37956841, 37955714, 37955195, 37955794]",117,1697802164,Friday Factorio Facts #381 – Space Platforms,story,https://factorio.com/blog/post/fff-381,
25,JumpCrisscross,151.0,37955454,"[37955876, 37957232, 37955865, 37955863, 37955914, 37957354, 37957148, 37955810, 37955900, 37955985, 37957658, 37956608, 37957211, 37956908, 37955885, 37957628, 37955840, 37955944, 37956848, 37956653, 37956276, 37956241, 37956172, 37955774, 37955904, 37956051, 37957253, 37957028]",158,1697806988,It's easy to screw up on breaking news but you have to admit when you do,story,https://www.natesilver.net/p/its-easy-to-screw-up-on-breaking,
26,Lammy,44.0,37951837,"[37953312, 37953461, 37954218, 37953545, 37954965, 37955762, 37953205, 37956076, 37954198, 37953354, 37955682, 37953294]",94,1697770092,"OS/2 Warp, PowerPC Edition",story,http://ps-2.kev009.com/michaln/history/os2ppc/index.html,
27,signa11,14.0,37951343,"[37954460, 37955404, 37954615]",82,1697766426,"Which Interpreters Are Faster, AST or Bytecode?",story,https://stefan-marr.de/2023/10/ast-vs-bytecode-interpreters/,
28,rbanffy,1.0,37957533,[37957807],9,1697815944,Intel Withdraws from Web Summit Following Israel Remarks,story,https://www.tomshardware.com/news/intel-withdraws-from-web-summit-following-israel-remarks,
29,mhatta,1.0,37956480,[37956916],22,1697811817,Kyoto Statement on End-to-End Encryption,story,https://www.globalencryption.org/2023/10/kyoto-statement-on-end-to-end-encryption/,
30,bookofjoe,3.0,37956374,"[37957402, 37957631, 37956389]",12,1697811421,"Mathematicians Found 12,000 Solutions to the Notoriously Hard Three-Body Problem",story,https://www.popularmechanics.com/science/math/a45074216/three-body-problem-solutions/,
31,networked,8.0,37953569,"[37954167, 37954752, 37953985, 37954066]",31,1697790190,A tutorial for the sam command language (1986) [pdf],story,http://doc.cat-v.org/bell_labs/sam_lang_tutorial/sam_tut.pdf,
32,wglb,21.0,37934817,"[37952346, 37952456, 37953139, 37952638]",76,1697663449,Webb detects quartz crystals in clouds of hot gas giant,story,https://phys.org/news/2023-10-webb-quartz-crystals-clouds-hot.html,
33,Anon84,15.0,37954951,"[37957788, 37956725, 37957664, 37957432, 37955862]",38,1697802995,A Nasty Tropical Skin Disease Is Now Endemic in the U.S.,story,https://www.scientificamerican.com/article/a-nasty-tropical-skin-disease-is-now-endemic-in-the-u-s/,
34,mikece,0.0,37957495,,3,1697815781,Critical RCE flaws found in SolarWinds access audit solution,story,https://www.bleepingcomputer.com/news/security/critical-rce-flaws-found-in-solarwinds-access-audit-solution/,
35,diodorus,12.0,37943920,"[37954134, 37956085, 37953530, 37952010, 37955123]",61,1697728052,"In ancient Egypt, soul houses and false doors connected the living and the dead",story,https://www.atlasobscura.com/articles/ancient-egypt-soul-houses-false-doors,
36,danny00,105.0,37952597,"[37952792, 37952809, 37954976, 37955567, 37952789, 37954375, 37957584, 37953747, 37953515, 37954790, 37953221, 37953848, 37955287, 37953907, 37953667, 37953110, 37955561, 37952790, 37952895]",188,1697779280,Pepper X,story,https://en.wikipedia.org/wiki/Pepper_X,
37,isaacfrond,0.0,37956747,,5,1697812774,Ray-Ban Meta smart glasses: a turning point,story,https://www.theverge.com/23922425/ray-ban-meta-smart-glasses-review,
38,Brajeshwar,222.0,37943843,"[37944372, 37944081, 37946820, 37944159, 37944767, 37946501, 37944924, 37944656, 37943996, 37946068, 37945753, 37944970, 37944117, 37944719, 37953058, 37952563, 37949068, 37947325, 37946893, 37948039, 37946294, 37949713, 37945469, 37947344, 37945113, 37951501, 37950895, 37945401, 37945649, 37951043, 37947201, 37948534, 37946916, 37944818, 37946711, 37944727, 37944407, 37945142, 37945654, 37944259, 37943978, 37952080, 37950229, 37948077, 37944335, 37944910]",394,1697727681,Early Europeans ate seaweed for thousands of years,story,https://www.smithsonianmag.com/smart-news/early-europeans-ate-seaweed-and-aquatic-plants-180983102/,
39,rbanffy,1.0,37955469,[37957653],12,1697807085,Seagate Unveils Exos X24 24TB and 28 TB: Setting the Stage for HAMR HDDs,story,https://www.anandtech.com/show/21100/seagate-unveils-exos-x24-24tb-and-28-tb-setting-the-stage-for-hamr-hdds,
40,perihelions,9.0,37955442,"[37957252, 37956375, 37957339, 37956688, 37956654, 37956470]",13,1697806864,FBI: Thousands of remote IT workers sent wages to North Korea,story,https://apnews.com/article/north-korea-weapons-program-it-workers-f3df7c120522b0581db5c0b9682ebc9b,
41,ingve,186.0,37947772,"[37949734, 37950090, 37949061, 37954188, 37949307, 37952722, 37954293, 37949064, 37949851, 37952318, 37952536, 37954693, 37948447, 37949579, 37949131, 37952007, 37949016, 37949445, 37952231]",321,1697744929,Apple's use of Swift and SwiftUI in iOS 17,story,https://blog.timac.org/2023/1019-state-of-swift-and-swiftui-ios17/,
42,Amorymeltzer,124.0,37955468,"[37955942, 37957013, 37956119, 37956564, 37956195, 37956113, 37956400, 37956031, 37955893, 37955841, 37957335, 37956263, 37956215, 37956413, 37955785, 37957098, 37955825, 37956378, 37956042, 37955898, 37956005, 37956359, 37955846, 37956639, 37956322, 37955744, 37956126, 37955739, 37957016]",110,1697807070,Jon Stewart's Show on Apple Is Ending,story,https://www.nytimes.com/2023/10/19/business/media/jon-stewart-the-problem-ends.html,
43,infrawhispers,550.0,37946017,"[37946943, 37950431, 37946706, 37948615, 37946391, 37947429, 37948086, 37947673, 37948021, 37946042, 37949712, 37947452, 37946405, 37946819, 37954820, 37953433, 37953306, 37948760, 37949076, 37950413, 37952358, 37947482, 37948680, 37946357, 37953326, 37947490, 37946458, 37946966, 37950021, 37950079, 37950524, 37950757, 37948814, 37948422, 37946720]",326,1697737426,Trucking startup Convoy closes operations with no buyer,story,https://www.bloomberg.com/news/articles/2023-10-19/bezos-backed-startup-convoy-closes-operations-with-no-buyer,
44,fidotron,0.0,37956177,,6,1697810619,Efficient Depth of Field and FXAA for Mobile WebGL,story,https://medium.com/@atomirex/efficient-depth-of-field-and-fxaa-for-mobile-webgl-3e6daa4957d3,
45,jonasnelle,105.0,37943931,"[37946392, 37947790, 37946462, 37953450, 37951395, 37948471, 37947632, 37951021, 37955768, 37948610, 37950472, 37948410, 37954920, 37946625, 37948155, 37948009, 37953340, 37952440, 37946841, 37944098, 37948212, 37948848, 37948417, 37951595, 37947874, 37954525, 37951425, 37949786, 37947655, 37946258, 37946464, 37943932]",318,1697728120,Show HN: Autotab – An AI-powered Chrome extension to create Selenium scripts,story,https://www.autotab.com/,"Autotab is a Chrome extension that writes Selenium code to mirror your actions as you navigate the browser. See it in action: <a href=""https:&#x2F;&#x2F;youtu.be&#x2F;UypAcozIaoo"" rel=""nofollow noreferrer"">https:&#x2F;&#x2F;youtu.be&#x2F;UypAcozIaoo</a><p>Autotab lets you create browser automations that actually work. We designed it around two principles:<p><pre><code>    1. Show, don’t tell: In a domain like web automation, it&#x27;s often easier to *show* the model what you want rather than to explain it in sentences.

    2. Code is the best output: Code is easy to inspect and enables manual tweaking of the model’s suggested actions. On top of that, code output avoids lock in and is straightforward to extend and integrate with larger projects.
</code></pre>
Autotab runs as a Chrome extension. As you navigate in the browser, autotab generates the Selenium code to reproduce your actions. You can copy that code into your own project or use our starter GitHub repo to get your automation up and running in &lt;5 minutes: <a href=""https:&#x2F;&#x2F;github.com&#x2F;Planetary-Computers&#x2F;autotab-starter"">https:&#x2F;&#x2F;github.com&#x2F;Planetary-Computers&#x2F;autotab-starter</a>.<p>We&#x27;d love to hear what you think!"
46,Anon84,36.0,37940973,"[37951781, 37953525, 37951841, 37955698, 37952335, 37955696, 37952055, 37951790, 37952347, 37952046, 37951470, 37951614, 37951247, 37951830, 37952683, 37955637, 37953250, 37952213, 37954444, 37954210]",175,1697711970,Accounting for computer scientists (2011),story,https://martin.kleppmann.com/2011/03/07/accounting-for-computer-scientists.html,
47,cpncrunch,203.0,37948938,"[37949336, 37955349, 37952170, 37951938, 37952271, 37949535, 37953174, 37949904, 37953966, 37949663, 37955222, 37955085, 37952183, 37949332, 37949405, 37953990, 37955158, 37951920, 37949778, 37949266, 37949217, 37949290, 37952057, 37949969, 37952352, 37949862]",167,1697750755,Ketamine's effect on depression may hinge on hope,story,https://med.stanford.edu/news/all-news/2023/10/ketamine.html,
48,webmaven,0.0,37956536,,3,1697812012,Injured Gaza baby photo proven to be AI-generated,story,https://www.jpost.com/israel-news/article-769264,
49,omarfarooq,54.0,37955130,"[37955403, 37955423, 37955467, 37955491, 37955401, 37956589, 37955609, 37955498, 37955392, 37955414, 37955391, 37955642, 37955476, 37955546, 37955894, 37955694, 37955627, 37956730, 37956493, 37955608, 37955509, 37955505, 37955811, 37955502, 37955533, 37955679, 37955649, 37955405]",39,1697804571,RabbitOS,story,https://www.rabbit.tech/,
50,pabs3,45.0,37939764,"[37948952, 37950346, 37954698, 37952422, 37955998, 37954995, 37949657, 37949799]",203,1697701708,Libre Silicon – Free semiconductors for everyone,story,https://libresilicon.com/,
51,daverol,9.0,37945006,"[37952894, 37953051, 37953384, 37952614]",26,1697732927,"Eric 'Winkle"" Brown – His Best and Worst Aircraft [video]",story,https://www.youtube.com/watch?v=37cG_LcrNhI,
52,hannob,8.0,37954583,"[37957804, 37957809, 37956668, 37955892, 37956361]",16,1697799904,Estonia's capital made mass transit free a decade ago. Car traffic went up,story,https://www.fastcompany.com/90968891/estonias-capital-made-mass-transit-free-a-decade-ago-car-traffic-went-up,
53,kinnth,142.0,37955501,"[37956198, 37956411, 37956600, 37956483, 37957227, 37956162, 37956993, 37956646, 37956143, 37956970, 37956401, 37956033, 37956001, 37956511, 37956012, 37956142, 37956984, 37956541, 37956055, 37956174, 37956395, 37956017, 37956621, 37956892, 37956308, 37956301, 37956297, 37956179]",134,1697807356,Wealth shown to a pixel scale (2021),story,https://mkorostoff.github.io/1-pixel-wealth/,
54,hdivider,4.0,37940601,"[37951233, 37951542]",50,1697708697,Delphic Hymns,story,https://en.wikipedia.org/wiki/Delphic_Hymns,
55,geox,87.0,37949994,"[37952757, 37955113, 37951740, 37950830, 37953591, 37953369, 37951282, 37955460, 37950953, 37954559, 37954556, 37950886, 37954572, 37953837, 37951342, 37953711, 37954342]",214,1697756598,Ozone hole goes large again,story,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-5P/Ozone_hole_goes_large_again,
56,JohnHammersley,144.0,37949656,"[37950148, 37950462, 37949938, 37953376, 37950943, 37949882, 37950023, 37949835, 37953725, 37950344, 37955429, 37952863, 37953038, 37950493, 37954112, 37950186, 37951186, 37951119, 37951012, 37949961, 37950977, 37949963]",528,1697754499,ArXiv receives $10M for upgrades,story,https://news.cornell.edu/stories/2023/10/research-repository-arxiv-receives-10m-upgrades,
57,alievk,35.0,37948648,"[37948649, 37950904, 37950364, 37955002, 37952166, 37951348, 37951869, 37952818, 37952345, 37954037, 37953963]",114,1697749192,Improving image generation with better captions [pdf],story,https://cdn.openai.com/papers/dall-e-3.pdf,
58,meatjuice,215.0,37938183,"[37941092, 37940635, 37940899, 37954353, 37939087, 37945001, 37939633, 37948521, 37941700, 37940956, 37941054, 37938336, 37941535, 37940589, 37939929, 37943755, 37939969, 37941067, 37943638, 37944055, 37939040, 37940261, 37938959, 37938548, 37945967, 37940162, 37938724, 37939261, 37943493, 37939608, 37938889, 37940885, 37940353, 37940446, 37939570, 37939504, 37943545, 37939801, 37939184, 37949828, 37938805, 37940519, 37940051, 37939106, 37938991, 37940284, 37938738]",530,1697687805,Localsend: Open-Source Airdrop Alternative,story,https://github.com/localsend/localsend,
59,mdwalters,31.0,37949688,"[37954817, 37951655, 37954901, 37952736, 37951429, 37954424, 37951749, 37953225, 37951913, 37951705, 37954278]",130,1697754750,Vectorpea: Online Tool for Vector Graphics,story,https://www.vectorpea.com/,
60,greenSunglass,242.0,37911900,"[37939573, 37935364, 37936428, 37939669, 37936071, 37935506, 37935301, 37935882, 37936789, 37935650, 37934976, 37938762, 37941981, 37935373, 37935575, 37955388, 37936026, 37939321, 37940704, 37936043, 37937255, 37939721, 37939878, 37937072, 37937782, 37943049, 37937972, 37939662, 37947527, 37941627, 37941762, 37936508, 37937642, 37945258, 37937262, 37936398, 37936169, 37936973, 37941793, 37935119, 37939517, 37936880, 37940019, 37936848, 37935039, 37936910, 37942864, 37943539, 37937188, 37942675, 37938117, 37937280, 37935937, 37939283, 37940468, 37935275, 37944542, 37941845, 37938923, 37935444, 37947221, 37939108]",827,1697529916,"Write more ""useless"" software",story,https://ntietz.com/blog/write-more-useless-software/,
61,M2Ys4U,0.0,37957372,,5,1697815272,Mastodon Is the Good One,story,https://www.404media.co/mastodon-is-the-good-one/,
62,CharlesW,152.0,37951579,"[37955029, 37953809, 37953551, 37954399, 37952938, 37957416, 37955186, 37953508, 37955443, 37952278, 37953720, 37954394, 37955931, 37953159, 37953577, 37953654, 37953346, 37952832, 37955397]",173,1697768258,Slack is retiring its status account on X,story,https://www.theverge.com/2023/10/19/23924662/slack-status-account-retiring-x-twitter,
63,grep_it,70.0,37952079,"[37953574, 37953032, 37952810, 37953037, 37954430, 37953106, 37953168, 37953432, 37953305, 37952816, 37954075]",92,1697772384,Does Go Have Subtyping?,story,https://journal.stuffwithstuff.com/2023/10/19/does-go-have-subtyping/,
64,rockyperezz,0.0,37955718,,4,1697808663,How to Do a Competitive Analysis (Quick and Easy) in 2024,story,https://www.justbeepit.com/post/how-to-do-a-competitive-analysis-quick-easy-in-2024,
65,omarfarooq,68.0,37955244,"[37956236, 37956695, 37956062, 37956786, 37957138, 37956347, 37957573, 37957029, 37956046, 37957709, 37957126, 37956160, 37956941, 37957170, 37956371, 37956905, 37956007, 37956366, 37957162, 37957235, 37956040, 37956443, 37957005, 37957191, 37956939, 37956437, 37957056]",47,1697805521,Solreader: E-Ink Smart Glasses for Reading,story,https://solreader.com/,
66,rapnie,21.0,37940842,"[37953590, 37950936, 37954402, 37954101, 37948855, 37950100]",136,1697710921,AtomVM: Erlang virtual machine for IoT devices,story,https://www.atomvm.net//,
67,atlasunshrugged,10.0,37955711,"[37956121, 37957459, 37956320, 37956568, 37956394, 37956154, 37956116]",52,1697808616,Peter Thiel was reportedly an FBI informant,story,https://www.theverge.com/2023/10/19/23923759/peter-thiel-fbi-informant-foreign-influence-report,
68,amalinovic,75.0,37954171,"[37955953, 37954801, 37955211, 37957517, 37955270, 37954512, 37955167, 37954495, 37955106, 37954642, 37955638, 37954767, 37955798, 37954880, 37954745, 37955569, 37955086, 37954992]",87,1697795851,What's new in C# 12: overview,story,https://pvs-studio.com/en/blog/posts/csharp/1074/,
69,ExeinTech,64.0,37942791,"[37944763, 37944274, 37948870, 37944612, 37944131, 37943784, 37948229, 37952316, 37943340, 37943342, 37943506]",173,1697722979,Linux runtime security agent powered by eBPF,story,https://github.com/Exein-io/pulsar,
70,mooreds,5.0,37955090,"[37956302, 37956266]",6,1697804323,Why hard-right libertarian Javier Milei wants to dollarise Argentina's economy,story,https://www.france24.com/en/americas/20231002-why-hard-right-libertarian-javier-milei-wants-to-dollarise-argentina-s-economy,
71,ingve,281.0,37947763,"[37949032, 37949024, 37949165, 37952048, 37950839, 37950246, 37948659, 37950864, 37948847, 37948583, 37954316, 37948801, 37948670, 37954646, 37952716, 37952066, 37953246, 37948997, 37948982, 37953107, 37952962, 37950858, 37950866, 37955190, 37947852, 37952823, 37948728, 37949077, 37948836, 37949137]",151,1697744888,Banging errors in Go,story,https://flak.tedunangst.com/post/bango,
72,neilxm,53.0,37945543,"[37948925, 37947025, 37947672, 37949420, 37947715, 37947604, 37953925, 37947103, 37949006, 37946763, 37948190, 37952492]",115,1697735308,Show HN: Generate Stable Diffusion scenes around 3D models,story,https://github.com/Dabble-Studio/3d-to-photo,"3D-to-photo is an open source tool for Generative AI product photography, that uses 3D models to allow fine camera angle control in generated images.<p>If you have 3D models created using the iOS 3D scanner you can upload them directly on to 3D-to-photo and describe the scene you want to create. For example:<p>&quot;on a city side walk&quot;
&quot;near a lake, overlooking the water&quot;<p>Then click &quot;generate&quot; to get the final images.<p>The tech stack behind 3D-to-photo:<p>Handling 3d models on the web: @threejs
Hosting the diffusion model: @replicate
3D scanning apps: shopify,Polycam3D or LumaLabsAI"
73,antirez,13.0,37941002,"[37946879, 37946542]",128,1697712193,The origins of the Idle Scan,story,http://antirez.com/news/139,
74,PaulHoule,46.0,37955289,"[37956193, 37955529, 37955671, 37956766, 37957436, 37957203, 37955845, 37955534, 37956159]",34,1697805830,"Qualcomm will try to have its Apple Silicon moment in PCs with ""Snapdragon X""",story,https://arstechnica.com/gadgets/2023/10/qualcomm-will-try-to-have-its-apple-silicon-moment-in-pcs-with-snapdragon-x/,
75,tysone,0.0,37955394,,4,1697806549,Cities Foster Serendipity. But Can They Do It When Workers Are at Home?,story,https://www.nytimes.com/2023/10/20/upshot/remote-work-tech-innovation.html,
76,jibaru,0.0,37952014,,9,1697771860,"Show HN: Gostore, a simplistic and minimalist storage made with Golang",story,https://github.com/Jibaru/gostore,
77,ksec,0.0,37955902,,11,1697809535,"Apple remains committed to China, says Tim Cook; announces development donation",story,https://9to5mac.com/2023/10/20/apple-remains-committed-to-china/,
78,all2,16.0,37949950,"[37951131, 37950898, 37952821, 37950400, 37952847]",196,1697756250,Anna's Archive – LLM Training Data from Shadow Libraries,story,https://annas-archive.org/llm,
79,dhfbshfbu4u3,4.0,37955606,"[37955797, 37956213, 37956532]",20,1697808072,Apple Cancels the Problem with Jon Stewart over China and AI Topic Concerns,story,https://www.avclub.com/apple-tv-plus-cancels-the-problem-with-jon-stewart-1850943452,
80,c420,57.0,37952741,"[37954652, 37954507, 37954291, 37955478, 37953869, 37955083, 37955479, 37954480, 37955685, 37955178, 37955566, 37956362, 37955146, 37956751, 37955321, 37955684, 37954120, 37955259, 37954729, 37954247, 37954411]",96,1697781119,In Plane Sight: Drug agents searching passengers for cash at airport gates,story,https://www.atlantanewsfirst.com/2023/10/19/plane-sight-drug-agents-searching-passengers-cash-airport-gates/,
81,behnamoh,3.0,37952355,[37955812],27,1697775574,The End of Finetuning – With Jeremy Howard of Fast.ai,story,https://www.latent.space/p/fastai,
82,jameskerr,39.0,37946109,"[37947881, 37948297, 37946651, 37946668, 37946839, 37954708, 37951340, 37947044, 37948720, 37950688, 37946670, 37951309, 37947645, 37948406, 37948028, 37948235, 37946854, 37946435, 37948357, 37946984]",84,1697737821,Joining CSV Data Without SQL: An IP Geolocation Use Case,story,https://www.brimdata.io/blog/join-geolocation-csv-data/,
83,wglb,144.0,37944269,"[37947373, 37950887, 37947160, 37944863, 37949029, 37948372, 37948687, 37946957, 37945352, 37946825, 37944978, 37945317, 37945168]",199,1697729418,Researchers identify largest ever solar storm in 14k-year-old tree rings,story,https://phys.org/news/2023-10-largest-solar-storm-ancient-year-old.html,
84,danboarder,42.0,37949504,"[37952556, 37952651, 37952141, 37956189, 37950863, 37952970, 37951006, 37954123, 37953628, 37951890, 37952332, 37953286, 37950915, 37954139]",60,1697753780,Text-to-CAD: Risks and Opportunities,story,https://thegradient.pub/text-to-cad/,
85,ingve,89.0,37941119,"[37942040, 37945813, 37941662, 37941902, 37943706, 37942816, 37951211, 37943436, 37944426, 37944781, 37950349]",83,1697713168,Requiem for a stringref,story,https://wingolog.org/archives/2023/10/19/requiem-for-a-stringref,
86,aboodman,147.0,37931373,"[37934909, 37932675, 37935160, 37931868, 37934974, 37935225, 37934918, 37935497, 37932874, 37953757, 37935155, 37937519, 37939312, 37940151, 37932508, 37936505, 37938539, 37937689, 37940016, 37932908, 37936298, 37940333, 37934516, 37938430, 37936772, 37934394, 37937494, 37936108, 37946248, 37932564, 37936176, 37937160, 37939032, 37933877, 37937623, 37933294, 37932632, 37932941, 37932054, 37932235, 37932077, 37932472]",435,1697647913,Reflect – Multiplayer web app framework with game-style synchronization,story,https://rocicorp.dev/blog/ready-player-two,
87,andrewedstrom,138.0,37953336,"[37953595, 37953558, 37953780, 37953601, 37957591, 37953592, 37953724, 37955246, 37954409, 37955117, 37957609, 37953629, 37953715, 37953767, 37953547, 37953660]",146,1697787436,Alexei Navalny's lawyers are arrested,story,https://www.economist.com/europe/2023/10/19/alexei-navalnys-lawyers-are-arrested,
88,randomwalker,15.0,37931180,"[37948998, 37953874, 37950714, 37947998, 37950693, 37950197]",42,1697647157,The Foundation Model Transparency Index,story,https://crfm.stanford.edu/fmti/,
89,sweave,57.0,37939576,"[37945207, 37944731, 37956064, 37941577, 37943369, 37942646, 37953544, 37942121, 37944545, 37954680, 37942588, 37941764, 37941580, 37942449, 37943077, 37946154, 37944662, 37941916, 37939794, 37946739, 37941603]",135,1697700163,Show HN: Modern Moodle learning platform open-source alternative,story,https://www.learnhouse.app/,"Code is still in pre-alpha but is perfectly usable, what do you think we can do better ?"
90,sebg,50.0,37945961,"[37947603, 37948203, 37952305, 37951437, 37948892, 37948303, 37953381, 37947828, 37954687, 37947848, 37947546]",97,1697737225,The Geometry of Truth: Do LLM's Know True and False,story,https://saprmarks.github.io/geometry-of-truth/dataexplorer/,
91,a_w,12.0,37947954,"[37949383, 37950520, 37953860, 37951383, 37948780, 37954517, 37949070]",67,1697745791,The Web Is for User Agency,story,https://berjon.com/user-agency/,
